Calado (m),Volume (m³),Desloc. (t),AWP (m²),LWL (m),BWL (m),LCB (m),VCB (m),LCF (m),BMt (m),KMt (m),BMl (m),KMl (m),TPC (t/cm),MTc (t·m/cm),Cb,Cp,Cwp,Cm
0.2143,0.9496,0.9734,9.1475,11.7663,1.2386,11.0676,0.1461,11.1830,0.7852,0.9313,70.1939,70.3400,0.0938,0.0581,0.3041,0.6082,0.6277,0.5000
0.4286,4.1345,4.2379,20.5315,13.2590,2.4771,10.9582,0.2937,10.8074,1.5756,1.8693,44.9794,45.2732,0.2104,0.1438,0.2937,0.5874,0.6251,0.5000
0.6429,9.9767,10.2261,33.4749,14.5573,3.7157,10.7156,0.4398,10.4365,2.3577,2.7974,35.8516,36.2914,0.3431,0.2518,0.2869,0.5738,0.6189,0.5000
0.8571,18.7299,19.1982,47.7197,15.6360,4.9543,10.4883,0.5910,10.1026,3.1560,3.7470,31.0750,31.6660,0.4891,0.3815,0.2821,0.5642,0.6160,0.5000
1.0714,30.7317,31.4999,62.4027,16.6522,5.7868,10.2508,0.7380,9.7875,3.7360,4.4741,28.1649,28.9030,0.6396,0.5328,0.2977,0.5587,0.6476,0.5327
1.2857,45.3417,46.4752,72.5811,17.5197,5.8073,10.0512,0.8839,9.4752,3.3001,4.1839,26.2504,27.1343,0.7440,0.6964,0.3466,0.5694,0.7134,0.6088
1.5000,62.0217,63.5723,80.3281,18.3872,5.8278,9.8437,1.0234,9.1833,2.8115,3.8349,24.5758,25.5992,0.8234,0.8497,0.3859,0.5824,0.7496,0.6626
1.7143,80.1458,82.1495,86.5700,18.8419,5.8483,9.6620,1.1547,8.9139,2.4042,3.5589,23.1905,24.3452,0.8873,1.0111,0.4243,0.6039,0.7856,0.7025
1.9286,99.2920,101.7743,90.5262,18.9861,5.8688,9.5145,1.2843,8.7848,2.0780,3.3622,20.9756,22.2598,0.9279,1.1244,0.4621,0.6302,0.8124,0.7332
2.1429,119.2195,122.2000,93.7071,19.1303,5.8893,9.3996,1.4103,8.7340,1.8470,3.2573,18.9977,20.4080,0.9605,1.2135,0.4938,0.6520,0.8317,0.7574
2.3571,139.6878,143.1800,95.4785,19.2744,5.9098,9.3220,1.5329,8.8131,1.6347,3.1677,16.8635,18.3965,0.9787,1.2527,0.5203,0.6697,0.8382,0.7769
2.5714,160.5811,164.5956,97.2870,19.4186,5.9303,9.2760,1.6528,8.8934,1.4756,3.1284,15.2522,16.9050,0.9972,1.2928,0.5423,0.6839,0.8448,0.7929
2.7857,181.9112,186.4590,99.1328,19.5628,5.9508,9.2515,1.7705,8.9746,1.3525,3.1229,13.9939,15.7644,1.0161,1.3338,0.5609,0.6958,0.8516,0.8062
3.0000,203.6902,208.7825,101.0159,19.7069,5.9713,9.2428,1.8864,9.0567,1.2549,3.1413,12.9851,14.8714,1.0354,1.3757,0.5770,0.7059,0.8584,0.8173
