Calado (m),Volume (m³),Desloc. (t),AWP (m²),LWL (m),BWL (m),LCB (m),VCB (m),LCF (m),BMt (m),KMt (m),BMl (m),KMl (m),TPC (t/cm),MTc (t·m/cm),Cb,Cp,Cwp,Cm
0.0000,0.0000,0.0000,0.0000,1.9713,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2143,0.9470,0.9707,9.1475,11.7663,1.2386,11.0673,0.1465,11.1830,0.7873,0.9339,70.3875,70.5340,0.0938,0.0581,0.3032,0.6081,0.6277,0.4987
0.4286,4.1433,4.2469,20.5315,13.2590,2.4771,10.9579,0.2931,10.8074,1.5723,1.8654,44.8839,45.1770,0.2104,0.1438,0.2943,0.5875,0.6251,0.5010
0.6429,9.9814,10.2310,33.4749,14.5573,3.7157,10.7155,0.4395,10.4365,2.3566,2.7961,35.8345,36.2740,0.3431,0.2518,0.2870,0.5738,0.6189,0.5002
0.8571,18.7231,19.1912,47.7197,15.6360,4.9543,10.4884,0.5912,10.1026,3.1572,3.7484,31.0863,31.6775,0.4891,0.3815,0.2820,0.5641,0.6160,0.4998
1.0714,30.7049,31.4725,62.4027,16.6522,5.7868,10.2512,0.7387,9.7875,3.7393,4.4780,28.1895,28.9281,0.6396,0.5328,0.2974,0.5587,0.6476,0.5323
1.2857,45.3624,46.4965,72.5811,17.5197,5.8073,10.0509,0.8835,9.4752,3.2985,4.1820,26.2384,27.1219,0.7440,0.6964,0.3468,0.5694,0.7134,0.6090
1.5000,62.0217,63.5723,80.3281,18.3872,5.8278,9.8437,1.0234,9.1833,2.8115,3.8349,24.5758,25.5992,0.8234,0.8497,0.3859,0.5824,0.7496,0.6626
1.7143,80.1211,82.1241,86.5700,18.8419,5.8483,9.6623,1.1551,8.9139,2.4049,3.5600,23.1977,24.3528,0.8873,1.0111,0.4241,0.6039,0.7856,0.7023
1.9286,99.3308,101.8141,90.5262,18.9861,5.8688,9.5142,1.2838,8.7848,2.0772,3.3609,20.9674,22.2512,0.9279,1.1244,0.4622,0.6303,0.8124,0.7334
2.1429,119.2329,122.2137,93.7071,19.1303,5.8893,9.3995,1.4101,8.7340,1.8468,3.2569,18.9956,20.4057,0.9605,1.2135,0.4939,0.6520,0.8317,0.7575
2.3571,139.6742,143.1660,95.4785,19.2744,5.9098,9.3221,1.5331,8.8131,1.6349,3.1680,16.8652,18.3983,0.9787,1.2527,0.5202,0.6696,0.8382,0.7768
2.5714,160.5394,164.5529,97.2871,19.4186,5.9303,9.2761,1.6532,8.8934,1.4760,3.1292,15.2562,16.9094,0.9972,1.2928,0.5421,0.6839,0.8448,0.7927
2.7857,181.9395,186.4880,99.1329,19.5628,5.9508,9.2515,1.7702,8.9746,1.3523,3.1225,13.9918,15.7619,1.0161,1.3338,0.5610,0.6958,0.8516,0.8063
3.0000,203.6902,208.7825,101.0159,19.7069,5.9713,9.2428,1.8864,9.0567,1.2549,3.1413,12.9851,14.8714,1.0354,1.3757,0.5770,0.7059,0.8584,0.8173
